	path	species
0	abies/abies_0.png	abies
1	abies/abies_1.png	abies
2	abies/abies_10.png	abies
3	abies/abies_11.png	abies
4	abies/abies_12.png	abies
5	abies/abies_13.png	abies
6	abies/abies_14.png	abies
7	abies/abies_15.png	abies
8	abies/abies_16.png	abies
9	abies/abies_17.png	abies
10	abies/abies_18.png	abies
11	abies/abies_19.png	abies
12	abies/abies_2.png	abies
13	abies/abies_20.png	abies
14	abies/abies_21.png	abies
15	abies/abies_22.png	abies
16	abies/abies_23.png	abies
17	abies/abies_24.png	abies
18	abies/abies_25.png	abies
19	abies/abies_26.png	abies
20	abies/abies_27.png	abies
21	abies/abies_28.png	abies
22	abies/abies_29.png	abies
23	abies/abies_3.png	abies
24	abies/abies_30.png	abies
25	abies/abies_31.png	abies
26	abies/abies_32.png	abies
27	abies/abies_33.png	abies
28	abies/abies_34.png	abies
29	abies/abies_35.png	abies
30	abies/abies_36.png	abies
31	abies/abies_37.png	abies
32	abies/abies_38.png	abies
33	abies/abies_39.png	abies
34	abies/abies_4.png	abies
35	abies/abies_40.png	abies
36	abies/abies_41.png	abies
37	abies/abies_42.png	abies
38	abies/abies_43.png	abies
39	abies/abies_44.png	abies
40	abies/abies_45.png	abies
41	abies/abies_46.png	abies
42	abies/abies_47.png	abies
43	abies/abies_48.png	abies
44	abies/abies_49.png	abies
45	abies/abies_5.png	abies
46	abies/abies_50.png	abies
47	abies/abies_51.png	abies
48	abies/abies_52.png	abies
49	abies/abies_53.png	abies
50	abies/abies_54.png	abies
51	abies/abies_55.png	abies
52	abies/abies_56.png	abies
53	abies/abies_57.png	abies
54	abies/abies_58.png	abies
55	abies/abies_59.png	abies
56	abies/abies_6.png	abies
57	abies/abies_60.png	abies
58	abies/abies_61.png	abies
59	abies/abies_62.png	abies
60	abies/abies_63.png	abies
61	abies/abies_64.png	abies
62	abies/abies_65.png	abies
63	abies/abies_66.png	abies
64	abies/abies_67.png	abies
65	abies/abies_68.png	abies
66	abies/abies_69.png	abies
67	abies/abies_7.png	abies
68	abies/abies_70.png	abies
69	abies/abies_71.png	abies
70	abies/abies_72.png	abies
71	abies/abies_73.png	abies
72	abies/abies_74.png	abies
73	abies/abies_75.png	abies
74	abies/abies_76.png	abies
75	abies/abies_77.png	abies
76	abies/abies_78.png	abies
77	abies/abies_79.png	abies
78	abies/abies_8.png	abies
79	abies/abies_80.png	abies
80	abies/abies_81.png	abies
81	abies/abies_82.png	abies
82	abies/abies_83.png	abies
83	abies/abies_84.png	abies
84	abies/abies_85.png	abies
85	abies/abies_86.png	abies
86	abies/abies_87.png	abies
87	abies/abies_88.png	abies
88	abies/abies_89.png	abies
89	abies/abies_9.png	abies
90	abies/abies_90.png	abies
91	abies/abies_91.png	abies
92	abies/abies_92.png	abies
93	abies/abies_93.png	abies
94	abies/abies_94.png	abies
95	acer/acer_0.png	acer
96	acer/acer_1.png	acer
97	acer/acer_10.png	acer
98	acer/acer_100.png	acer
99	acer/acer_1000.png	acer
100	acer/acer_1001.png	acer
101	acer/acer_1002.png	acer
102	acer/acer_1003.png	acer
103	acer/acer_1004.png	acer
104	acer/acer_1005.png	acer
105	acer/acer_1006.png	acer
106	acer/acer_1007.png	acer
107	acer/acer_1008.png	acer
108	acer/acer_1009.png	acer
109	acer/acer_101.png	acer
110	acer/acer_1010.png	acer
111	acer/acer_1011.png	acer
112	acer/acer_1012.png	acer
113	acer/acer_1013.png	acer
114	acer/acer_1014.png	acer
115	acer/acer_1015.png	acer
116	acer/acer_1016.png	acer
117	acer/acer_1017.png	acer
118	acer/acer_1018.png	acer
119	acer/acer_1019.png	acer
120	acer/acer_102.png	acer
121	acer/acer_1020.png	acer
122	acer/acer_1021.png	acer
123	acer/acer_1022.png	acer
124	acer/acer_1023.png	acer
125	acer/acer_1024.png	acer
126	acer/acer_1025.png	acer
127	acer/acer_1026.png	acer
128	acer/acer_1027.png	acer
129	acer/acer_1028.png	acer
130	acer/acer_1029.png	acer
131	acer/acer_103.png	acer
132	acer/acer_1030.png	acer
133	acer/acer_1031.png	acer
134	acer/acer_1032.png	acer
135	acer/acer_1033.png	acer
136	acer/acer_1034.png	acer
137	acer/acer_1035.png	acer
